Day,Time,Type,Title,Presenter,Abstract,Youtube,Slides
Friday,9:00,Normal,Tour of the Quantum-Nano Fabrication and Characterization Facility (separate registration required),,"Step with us into the [Quantum-Nano Fabrication and Characterization Facility](https://uwaterloo.ca/quantum-nano-fabrication-and-characterization-facility/about), aka Nanofab at the University of Waterloo! See and learn about the advanced equipment that make chip designs actually work in the real world.

Separate registration required, watch your email inbox for details shortly before the event.",,
Friday,9:00,Break,Doors open! Register and mingle.,,,,
Friday,10:30,Normal,Opening,FOSSi Foundation team,Welcome to Latch-Up! All you need to know to have a successful conference.,,
Friday,10:40-12:00,,Session 1:  SoCs,,,,
Friday,10:40,Normal,Unifying FuseSoC and SiliconCompiler,Duncan Parke,"As python-based build systems such as FuseSoC and SiliconCompiler gain adoption across the industry, projects are becoming increasingly tied one ecosystem or another. This lock-in limits teams' ability to use hardware IP and leverage tool flows developed in other ecosystems.
 
This presentation introduces a new approach for interoperability between build systems, along with a supporting library that enables compatibility between FuseSoC's cores and SiliconCompiler's libraries. By lowering switching costs, we aim to increase IP reuse, reduce engineering duplication, and allow teams to choose the right tool for each stage of the design process",,
Friday,11:00,Normal,FuseSoC for large real-world code bases,Olof Kindgren,"The award-winning FuseSoC is the world's most widely used package manager for chip design and powers everything from small hobbyist FPGA projects to multi-billion transistor ASIC tapeouts on leading-edge nodes.

Despite the benefits, there is often a fear associated with moving to a new system. As FuseSoC developers, we often hear ""It won't work for our code base"" or ""we have some special requirements"". Well, my friends. This presentation is for you. It is also for all of you who are already using FuseSoC but perhaps hasn't picked up how to unlock its full potential. We will look at some of the convenient features that sometimes are missed, adaptations that are often used when FuseSoC is introduced into an existing code base as well as sorting out some common misconceptions that we have come across when working closely with FuseSoC users with large code bases.",,
Friday,11:20,Normal,"Erbium SOC, Architecture, Design and Verification",Vijayvithal Someracharya Jahagirdar,"Erbium is the first tapeout of AIFoundry's  open-source manycore ASIC platform for parallel computing acceleration. This 8C16T RISC-V SOC with Vector and Tensor extensions is targeted towards the EdgeAI application space. In this talk we will cover 
   
1. The ISA, Memory and SOC design.
2. The design process.
3. Verification Flow.
4. The current state of opensourcing the design.
   
Attendees will learn about the opensource components that can be reused in their design and contributing to the growing community of Silicon and Software developers at AIFoundry.",,
Friday,11:40,Normal,CHIPS Alliance: towards a unified open source ASIC design & DV workflow,"Karol Gugala
","CHIPS Alliance hosts open source tools and IP blocks for ASIC development, and has a vision of aligning open source efforts towards building a tool suite for faster and more collaborative design and testing of silicon.

This talk will outline the activities and objectives of the recently restructured SV Tools project, concerned with SV development, testing and productivity with CHIPS-hosted tools like Verible, RISC-V DV or SV-tests and their integration with the broader open source tooling ecosystem, as well as new developments in the VeeR family of RISC-V cores, including the Guineveer SoC based on the Topwrap SoC generator.",,
Friday,12:00,Normal,Tour of the Quantum-Nano Fabrication and Characterization Facility (separate registration required),,"Step with us into the [Quantum-Nano Fabrication and Characterization Facility](https://uwaterloo.ca/quantum-nano-fabrication-and-characterization-facility/about), aka Nanofab at the University of Waterloo! See and learn about the advanced equipment that make chip designs actually work in the real world.

Separate registration required, watch your email inbox for details shortly before the event.",,
Friday,12:00,Break,Lunch,,,,
