Day,Time,Type,Title,Presenter,Notes,Announced in batch,Abstract
Fri,09:00,Break,Welcome Coffee,Mingle with a nice coffee in front of venue,,,
Fri,10:30,Normal,Opening,FOSSi team,,,
Fri,10:40,Normal,Using Clash to enable logically synchronous data centers,Christiaan Baaij,Tool,,"The fact that all the computers and switches in a data center are mostly independent and asynchronously operating entities can cause issues. This includes a wide variance in end-to-end latency (“lag spike”), to efficient compute resource usage; and on top of that: all the buffers that are all over the place are consuming a lot of energy. Imagine, however, what would happen if you could treat your entire data center as a synchronous digital circuit: latency becomes deterministic, scheduling applications for efficient resource usage becomes easier, and you can drastically reduce buffer sizes. This is what the Bittide project, https://www.bittide.io/, aims to achieve: to bring ‘logical’ synchrony to data centers. This talk will explain what ‘logical’ synchrony is and how we used Clash, https://clash-lang.org/, to build the hardware support to enable it."
Fri,11:00,Normal,The Saturn Vector Unit: Design of a Fully Compliant Open-Source RISC-V Vector Unit,Jerry Zhao,IP,2,
Fri,11:20,Normal,VexiiRiscv : A Debian demonstration,Charles Papon,Core,1,"The VexiiRiscv (Vex2Risc5) project aim at remplacing VexRiscv and extends its scope with features such as multi-issue, hardware prefetcher, 64 bits support, ... This presentation will mainly be a live demonstration of the project running Debian on FPGA, exposing the level of performance achievable on such system including boot, userland, some demos and finaly a few slides."
Fri,11:40,Normal,FazyRV: A RISC-V Core that Scales to Your Needs,Meinhard Kissich,Core,1,"FazyRV is a scalable RISC-V core that can be synthesized into a (1-)bit-serial, 2-, 4-, or 8-bit-serial implementation to fulfill your performance requirements with the least area (resp. resources) demand. FazyRV provides manifold variants to adapt to the target technology by, e.g., avoiding dual-port BRAM at the cost of an additional clock cycle. Contradictory to hand-optimized cores at the gate level, FazyRV tries to avoid manual low-level optimizations to increase readability and simplify adaptations. This talk gives an insight into the open-source FazyRV core and its design objectives. We show how the area demand scales, answer why there is no 16-bit variant, discuss how the performance can be improved, and outline possible extensions to improve the current FazyRV design."
Fri,12:00,Normal,A very small cross compiler for OpenRISC and maybe your homebrew processor,Jörg Mische,Tool,2,"PunyCC is a cross compiler for a very small subset of C. Only one source file, no preprocessor, no structs, no floating point and only one datatype that can be used as unsigend int or pointer to char. Due to these simplifications the compiler source code is very small and can easily be adopted to a new target instruction set. So far PunyCC supported 4 architectures: ARM Thumb-2, RISC-V, x86-32 and WebAssembly. It can compile itself and thus provides cross compilers from any of the instruction sets to any other. This talk presents how easy it is to add OpenRISC support to PunyCC. Use it as a blueprint for porting PunyCC to your own special instruction set."
Fri,12:20,Break,Lunch Break,,,,
Fri,13:00,Normal,Roadmap for Open Source EDA in Europe,Stefan Wallentowitz,Advocacy,1,"Open source silicon and open source EDA tools have been identified as strategically important for European sovereignty. The GoIT! project and FOSSi Foundation have been tasked with creating a roadmap and recommendations for open source EDA in Europe. In this presentation, we will give an overview about the roadmap and initiate the community feedback period, which is extremely important for the success of the roadmap."
Fri,13:30,Normal,"New open source IP, tools and verification flows for Caliptra 2.0",Karol Gugala,"IP, Verification",,"CHIPS Alliance’s open source Caliptra Root of Trust Project (a collaboration between AMD, Google, Microsoft and NVIDIA) is heading towards a 2.0 release. This talk will cover recent open source developments resulting from Antmicro’s involvement in the project, expanding on last year’s update at ORConf: a new open source I3C core built for use in future Caliptra integrations, further developments in the RISC-V-based VeeR core including PMP, ePMP and User Mode support, fully open verification of the AXI bus interface with Verilator and axi-vip verification IP and a number of improvements related to coverage visualization, automated documentation and chip aggregation. The talk will also present the SystemRDL integration with Renode speeding up generation of the co-simulation verification environment, as well as Caliptra’s entry in Antmicro’s System Designer which lets you explore the SoC’s structure, RTL and verification artifacts from a block diagram perspective."
Fri,13:50,Normal,The future of FuseSoC,Olof Kindgren,Tool,2,"While individual projects like Linux and GCC paved the road for open source software success, it can be argued that the thing that really enabled scaling up development of Linux-based solutions was the idea of package management. Having a common way to install software and describe their relations made it possible to rapidly create custom systems. The same can be said for language-specific package managers like pip for Python or Cargo for Rust.

On the chip design side, FuseSoC has been doing the same thing since its inception 2011. It is by now likely the world's most widely used package manager, both for open source projects and for proprietary code.

The background of FuseSoC has been presented several times over the years, so this presentation aims to instead look ahead and see what new features that are in store for FuseSoC and its sister project Edalize."
Fri,14:10,Normal,,,,,
Fri,14:30,Break,Coffee Break,,,,
Fri,15:00,Normal,naja_edit: An Open Source Tool for Gate-Level Netlist editing and optimization,Christophe Alexandre,"Netlist, Tool",1,"naja_edit is an open source tool designed to optimize and edit gate-level netlists. It features algorithms for Dead Logic Elimination, Constant Propagation, and Primitives Optimization, all performed with minimal changes to the hierarchical netlist structure. This tool can be interleaved with Yosys and OpenROAD, making it particularly useful for large designs requiring hierarchical synthesis. naja_edit also features a Python interface for power users to inspect and edit the netlist using simple scripts. This talk will present optimization results on a set of open source designs."
Fri,15:20,Normal,Development of Certificate Courses and Status Quo of Digital EDA Course using IHP-SG13G2,Thorsten Knoll / Christian Wittke,"Education, PDK",2,"This talk will present the ongoing effort and progress in creating the OS-EDA course. An overview of the available materials, lectures, and hands-on components will be included. Additionally, we will explain how to participate and use the materials independently. A first test run of the course, planned to be held in-house at IHP, will be announced during this talk at ORConf. The course's overall goal is to help participants understand and use open-source EDA tools to create an open-source tapeout, with IHP as the default target chip factory and the usage of OPENROAD. The course will be available in English, with all materials hosted in a public Git repository under an open-source license. This work is funded by the German Federal Ministry of Education and Research in the Project FMD-QNC (16ME0831).This talk will present the development of certificate courses within the FMD-QNC project, which will be part of an educational platform aimed at training individuals from trainees to academics. The OS-EDA courses under development at IHP target academics and career changers. We will present the progress in creating the digital OS-EDA course, including an overview of the available materials, lectures, and hands-on components. Additionally, we will explain how to participate and use the materials independently.

A first test run of the course, planned to be held in-house at IHP, will be announced during this talk at ORConf. The overall goal of the course is to help participants understand and use open-source EDA tools to create an open-source tapeout, with IHP as the default target chip factory and the use of OPENROAD.

The course will be available in English, with all materials hosted in a public Git repository under an open-source license. This work is funded by the German Federal Ministry of Education and Research as part of the FMD-QNC project (16ME0831)."
Fri,15:40,Normal,SoCESS? - Adventures deploying (digital design) Open Source assets into Curriculum,John Goodenough,Education,,"The many efforts in the open source community have produced IP and tool assets that can no be deployed at scale into Curriculum. At the University of Sheffield we have begun a multi year curriculum transformation within the school of Electronic and Electrical Engineering. We will outline our plans , discuss delivery constraints and report on experiences to date deploying at moderate cohort scale, this will focus on digital SoC design using Risc-V. The non technical experiences should transfer to other methodology and flow areas. We aim to catalyse the community in thinking more deeply about user needs for in academic teaching and to promote further collaboration and sharing of ideas"
Fri,16:00,Normal,My open source analog microelectronics journey,Matt Venn,"Analog, Design",2,"Analog microelectronics is a crucial but often overlooked part of ASIC design. In this talk I will share my experience getting started with analog microelectronics, and taping out my first few designs. I will cover motivation, tools, my designs, and my success and failures so far. The presentation will end with a discussion on how this fascinating topic fits into the wider picture of open source silicon and the next steps needed to enable radio transmitters and receivers."
Fri,16:20,Normal,,,,,
Sat,09:00,Normal,Open Source Standard Cell Library Design,Antoine Sirianni,PDK,2,"With the avenue of AI as a game changer, what would Open Source Standard Cell Library Design consist in to date? Where to start ? Let's focus on combinatorics to provide with an unexpected contribution."
Sat,09:20,Normal,Project Arrakeen: One API to rule all PDKs,Staf Verhaegen,PDK,1,"Project Arrakeen is an umbrella project for providing a python framework for portable and scalable digital and analog circuits. It is based on the PDKMaster base project which provide a uniform API to PDK data and generation of circuit and layouts. On this base project other projects are being built that provide standard cells, IO cells, SRAM compiler and analog blocks. In this talk the state of the Arrakeen project and it's subprojects for the three supported open source PDKs, e.g. Sky130, IHP SG13G2 and GF180MCU will be presented."
Sat,09:40,Normal,Porting of Proprietary PDK to Digital Open-Source EDA Tools,Tomasz Hemperek,PDK,,"Open-source tools for ASIC design are gaining momentum due to their cost-effectiveness, customizability, and reliability. These tools have proven their value through multiple successful designs in recent years. This talk will present our experience in successfully porting a proprietary 110nm Process Design Kit (PDK) to open-source EDA tools such as Yosys and OpenRoad. We will discuss both the successes and challenges encountered during this process, using the prototype Gbit serial data link as a case study."
Sat,10:00,Normal,DFHDL: The 3-in-1 Abstraction Approach to Hardware Design,Oron Port,"Design, Tool",1,"Join us for a dive into DFHDL (DFiant Hardware Description Language), where we break down a fresh approach to hardware design. This talk introduces a unique three-layer abstraction method that blends Dataflow (DF), Register-Transfer (RT), and Event-Driven (ED) models into one streamlined framework. We’ll explore how DFHDL simplifies and speeds up the logic design processes and our goals to do the same for verification. Expect a straightforward discussion on how each layer of DFHDL works, why it matters, and what it means for the future of hardware design. We’ll share real-life examples and insights that show DFHDL in action. Whether you’re deep into hardware design or just curious about how chips come to life, this talk has something for you. DFHDL is an opensource framework available at https://dfianthdl.github.io/ (WIP)"
Sat,10:20,Break,Coffee Break,,,,
Sat,10:50,Normal,cocotb as a way towards a new verification methodology,Marek Cieplucha,Verification,2,"SystemVerilog and UVM have dominated digital verification, even though they are relatively old technologies with significant limitations.
The EDA industry's strategy has been to develop smarter (and more expensive) tools based on these technologies.
However, Cocotb offers a different approach. It minimizes the reliance on EDA tools (limited to just simulation) by enabling the vast capabilities of the Python ecosystem.

Is this a recipe for success? What challenges does it present? Is there room for both strategies in the future?

In this presentation, I will discuss some general considerations, as well as share experiences from successful deployments of the Cocotb flow in industrial projects (which might even be in your pocket right now).

Some fancy around-Cocotb ideas developed will be shown: usage of massive parallelism, flow unification with algorithm-level modeling and checkpointing."
