Day,Time,Type,Title,Presenter,Abstract,Youtube,Slides
,,Normal,Custom instruction development and deployment on a RISC-V softcore,Philippos Papaphilippou,"This talk demonstrates the programmability of the Simodense RISC-V
softcore running on an FPGA [1]. The latest experimentation based on Simodense
features runtime reconfigurability. Custom instructions can automatically be
loaded during runtime on demand, using a recently proposed approach called
""LUTstructions"". LUTstructions are small FPGAs (essentially FPGA-on-FPGA when
running on an FPGA) that are optimised for instruction implementation and fast
reconfiguration [2]. The prototype is entirely written in Verilog and is thus
applicable to a variety of usage scenarios.

[1] ""Simodense: a RISC-V softcore for custom SIMD instructions"" (GitHub
repository) https://github.com/pphilippos/simodense

[2] Philippos Papaphilippou ""LUTstructions: Fast-Reconfigurable FPGA-Based
Instructions"" (in-press) IEEE/SBC SBAC-PAD 2026
",,
,,Normal,A Look Back at Two Successful wafer.space Shuttle Runs,Leo Moser,"wafer.space provides budget silicon manufacturing for the GF180MCU process.

In this talk, we will take a look back at the wafer.space shuttle runs and the challenges that came with them. Furthermore, I will highlight a number of impressive open-source designs, as well as some very useful community-created IP. Finally, I will provide an outlook on ongoing and future developments.",,
,,Normal,"AutoMBIST: An Open-Source MBIST, BIRA, and BISR Generator for OpenRAM Memories","Rana Umar Nadeem
","Memory arrays are typically the highest-defect-density block on a chip, yet the tools used to test and repair them at manufacturing time remain locked inside commercial EDA suites, with no real open-source equivalent.

AutoMBIST is an open-source generator that takes a memory macro from RTL through a genuine 2D row-and-column redundancy solver (BIRA, cross-validated against a brute-force oracle) and produces a synthesizable on-chip self-repair controller (BISR) that operates without any external tester. It has been demonstrated on real OpenRAM-compiled SKY130 SRAM macros, each wrapped in a full MBIST and self-repair block, hardened through LibreLane 3.0.5 to zero detailed-routing violations and clean LVS/power-aware signoff.

The talk covers the MBIST collar insertion & BIRA algorithm, a walkthrough of the autonomous on-chip self-repair flow, and the physical closure results.",,
,,Normal,"One Engine, Every EDA Format — Grammar-Driven, Bidirectional Parsing for Open Silicon",Serge Rabyking,"Every EDA tool reimplements its own LEF/DEF/GDSII/Tcl readers. rawast replaces them with one universal engine where the grammar is data — a runtime .rawast file, not compiled code. One engine parses any text or binary format into a queryable value tree, and because it’s bidirectional, the same grammar re-emits the text too. It’s self-hosting, GDSII is the worked binary example, and a planned container lets downstream tools parse once and never re-parse. The PoC parses a 3,132-file production corpus across four formats. C++17 + Python, MIT.",,
,,Normal,kepler‑formal - An open‑source equivalence‑checking tool.,Noam Cohen,"For a long time, one of the crucial items missing in the open silicon ecosystem has been a formal equivalence‑checking tool capable of verifying modern‑scale architectures.
Kepler‑formal provides exactly that, with an advanced multi‑threaded C++ core that can handle even large designs in a timely fashion.
This tool adds another important building block in the journey toward industrial‑level development with open‑source EDA.
It has already been adopted publicly by several key players in the open silicon community and also saw usage in the industry. 
In this talk, we will present the tool and its use model, as well as our roadmap in terms of format support and features.

https://github.com/keplertech/kepler-formal",,
,,Normal,Finally Testing Silicon Again: Chipalooza and Wafer.Space!,R. Timothy Edwards,"Packaged silicon parts have finally arrived on-site in time for summer 2026, including the second Chipalooza test chip on Sky130 and new 3.3V support for GF180MCU on the first Wafer.Space shuttle run. All circuits are functional! Characterization results will be presented for the several dozen analog blocks on the Chipalooza test chips as well as for the 3.3V SRAM and I/O library components. I will report on continuing efforts to provide open source analog libraries for all of the open PDKs.",,
,,Normal,Extracting bit-level connectivity from SystemVerilog designs with Slang Netlist,Jamie Hanlon,"Many questions about a hardware design are about connectivity: what drives this signal, what does it fan out to, is there a combinational loop, does this path cross a clock domain? Slang Netlist is an open-source C++ library that answers these by building a bit-level dependency graph directly over an elaborated SystemVerilog RTL design. Working at the source level rather than lowering to gates keeps close correspondence to the RTL and compilation fast; building on the slang front end brings rich SystemVerilog support and optimised parsing, elaboration, and data-flow analyses; and it is easy to integrate with Python bindings.
This talk covers how it works — turning slang's analyses into a queryable graph — how to use it via the CLI and Python, and several use cases, including synthesis-style lint checks and clock-domain-crossing (CDC) analysis.",,
,,Normal,"naja-schematic: A Lightweight, Web-Native Netlist Schematic Viewer",Christophe	Alexandre,"While building netlist tools at keplertech.io, we kept missing a lightweight schematic viewer for browsing design connectivity and hierarchy. naja-schematic has been an internal project we'd now like to open to the community for use and collaboration.
It's a small, fast viewer in C++ leveraging Dear ImGui for portability and WebAssembly capabilities. It currently loads naja data structures, but we are looking for ways to offer a general way to load any data structure.",,
,,Normal,Between analog and digital ASIC design - Library characterization,"Ondrej Ille
","Where do the liberty files come from? How to create own liberty files with open source tools? This talk introduces OpenChar, a new open-source standard cell library characterizer. OpenChar uses NGSpice to simulate standard cells and generate liberty files and Verilog models for them. The talk will focus on user visible features and compare OpenChar with other existing open-source solutions. We briefly look at the internal workings of OpenChar, and since SW is never finished, we will also talk about missing features and future plans.",,
,,Normal,OpenADA: An Open Semantic Interface Between AI Agents and EDA Tools,Amir Mabhout,"AI agents can already execute EDA commands, but reliable chip-design automation requires more than shell access. Every tool has different invocation rules, environment assumptions, artifacts, logs, and definitions of success. This makes agent workflows difficult to reproduce, audit, and move between tools.

OpenADA is an open-source semantic interface between AI agents and open EDA tools. An agent expresses an engineering intent—such as netlisting a schematic, running a circuit simulation, checking DRC, comparing LVS, or structurally checking RTL—and OpenADA translates it into a deterministic native-tool operation. It returns structured evidence, including separate execution and engineering status, diagnostics, artifact hashes, provenance, and the assumptions affecting interpretation.

This talk presents OpenADA’s architecture and its current integrations with Xschem, ngspice, Xyce, KLayout, Netgen, and Yosys. A demonstration will show the same circuit-simulation intent executed through ngspice and Xyce while retaining each simulator’s native artifacts. The talk will explain how an open semantic contract can let EDA maintainers integrate once, allow researchers to swap backends, and keep agent-generated engineering results reviewable instead of reducing them to unbounded log summaries.",,
,,Normal,Doppio: Open-Source Verification with Java and Scala,Martin Schoeberl,"The initial cost for producing a chip is very high. Therefore, getting the design right on the first run is essential. To identify potential errors in the design before production, considerable effort is invested in testing and verifying the design.

However, the current practice of chip design verification uses languages with roots in the 80s. The Doppio project aims to modernize verification tooling by leveraging insights from software testing. This paper introduces a software-based verification framework. We propose a framework using modern programming languages, such as Java and Scala, to verify digital circuits.",,
,,Normal,More Bang for Your Bucket,Stuart Alldred,"Bucket is an open-source Python project for collecting and viewing functional coverage, first presented at ORConf 2024. Since then Vypercore shut down, Noodle-Bytes took the project on, and Bucket has been picked up by two more silicon companies, one of which uses it to cover software rather than hardware. This talk covers the many changes from the last two years, including the improved viewer, comparing coverage between runs, and a new archive format, along with plans for the future.",,
